n,accuracy,macro_f1,top5_accuracy,reviews_seen
5000,0.14802960592118425,0.04363864543846712,0.4316863372674535,3297
10000,0.12131213121312132,0.03353704154335044,0.40624062406240624,7499
15000,0.1126741782785519,0.03740350153834469,0.3936929128608574,12152
20000,0.11570578528926447,0.04401409542906629,0.4032201610080504,16754
25000,0.11440457618304732,0.03962810406439915,0.4089363574542982,21342
30000,0.11330377679255975,0.050026380342634104,0.3990799693323111,25692
35000,0.1119746278465099,0.04383052184721133,0.39823994971284893,30140
40000,0.11142778569464237,0.04283182117268651,0.3978099452486312,33882
45000,0.11171359363541412,0.039900750757014256,0.4012533611858041,35805
50000,0.10932218644372887,0.03893893227773077,0.3987479749594992,43060
55000,0.11192930780559647,0.03737632943843406,0.40178912343860795,46505
60000,0.11513525225420423,0.03782922163870941,0.40752345872431206,51139
65000,0.11764796381482792,0.042278398823733326,0.41274481145863784,55015
70000,0.11711595879941142,0.042065440997885485,0.41497735681938314,59618
75000,0.11538820517606901,0.04025065576439001,0.4158722116294884,64641
80000,0.11428892861160765,0.03687095988407006,0.41519268990862385,69381
85000,0.11466017247261732,0.035168961741035884,0.4173931458017153,73840
90000,0.11674574161935132,0.03412002790836421,0.4191824353603929,78288
95000,0.11873809197991558,0.03330670055383932,0.421309697996821,83176
100000,0.11980119801198012,0.03301944404794586,0.4236942369423694,87715
105000,0.12070591148487128,0.032312680246141604,0.42415642053733843,91676
110000,0.12177383430758461,0.03159522386030609,0.4257038700351821,96744
