detector,n,timestamp
DDM,1085,2017-01-29 04:52:16
ADWIN,1185,2017-01-30 21:44:49
PageHinkley,1480,2017-02-03 22:21:47
PageHinkley,3158,2017-02-28 22:12:55
ADWIN,3169,2017-03-01 08:08:10
PageHinkley,5557,2017-03-26 11:30:41
ADWIN,7361,2017-04-17 21:09:39
PageHinkley,8750,2017-05-01 19:04:07
PageHinkley,17325,2017-07-10 12:19:10
ADWIN,18145,2017-07-15 13:14:41
PageHinkley,21510,2017-08-06 21:15:55
PageHinkley,25762,2017-09-03 11:49:53
PageHinkley,36702,2017-11-09 00:26:50
ADWIN,38081,2017-11-15 21:34:59
ADWIN,39905,2017-11-23 21:44:38
PageHinkley,41067,2017-11-24 21:07:00
PageHinkley,43069,2017-11-28 15:54:45
PageHinkley,54002,2018-01-16 13:33:04
ADWIN,63585,2018-02-22 15:43:00
PageHinkley,67617,2018-03-08 16:46:29
PageHinkley,69877,2018-03-17 17:21:31
ADWIN,72065,2018-03-25 19:08:17
PageHinkley,75745,2018-04-09 18:26:35
ADWIN,77377,2018-04-16 10:08:22
PageHinkley,87614,2018-05-21 10:57:22
ADWIN,88737,2018-05-28 15:37:54
PageHinkley,98360,2018-07-12 15:16:10
ADWIN,98369,2018-07-12 17:10:59
PageHinkley,103147,2018-07-31 16:00:40
ADWIN,106945,2018-08-12 02:11:20
PageHinkley,107366,2018-08-13 16:50:25
