n,accuracy,macro_f1,top5_accuracy,reviews_seen
5000,0.14742948589717944,0.037480381805963796,0.4284856971394279,0
10000,0.12091209120912091,0.027694608531097235,0.40444044404440443,0
15000,0.11280752050136676,0.03868577402584146,0.39309287285819056,0
20000,0.11570578528926447,0.03835642389855313,0.4016200810040502,0
25000,0.11772470898835953,0.04829417492504966,0.4081763270530821,0
30000,0.11670389012967099,0.0494746083212398,0.4050468348944965,0
35000,0.11771764907568788,0.0465227132523008,0.40881168033372384,0
40000,0.11705292632315809,0.04434881470515274,0.40633515837895945,0
45000,0.11900264450321119,0.04339909071033045,0.4095202115602569,0
50000,0.12052241044820897,0.04191597013329222,0.4116282325646513,0
55000,0.12282041491663485,0.04035017181513875,0.41308023782250586,0
60000,0.12450207503458391,0.03929247074451718,0.4187736462274371,0
65000,0.12637117494115294,0.03971973789447226,0.42345266850259233,0
70000,0.1263732339033415,0.03940167775362779,0.4262060886584094,0
75000,0.1292417232229763,0.03984845077297773,0.42777903705382736,0
80000,0.12967662095776197,0.039960441774574446,0.42770534631682894,0
85000,0.1294132872151437,0.03899765979737424,0.4309933058035977,0
90000,0.13089034322603585,0.03866455724357827,0.43186035400393336,0
95000,0.13256981652438446,0.038185249791517946,0.43316245434162465,0
100000,0.13311133111331114,0.038133244850214375,0.4341543415434154,0
105000,0.13136315583957942,0.03748402442903077,0.4325279288374175,0
110000,0.1322375657960527,0.03720443502877499,0.43322212020109274,0
