n,model,accuracy,macro_f1,top5_accuracy
5000,baseline_no_change,0.1898379675935187,0.13429912952488432,0.247
5000,baseline_prior,0.15023004600920184,0.0048398842552313925,0.4404880976195239
5000,naive_bayes,0.15043008601720345,0.004842958068484064,0.3358671734346869
5000,logistic_ovr,0.15043008601720345,0.004842958068484064,0.3358671734346869
5000,hoeffding_tree,0.14762952590518102,0.04229067754737868,0.41348269653930786
5000,hoeffding_adaptive,0.14762952590518102,0.03796482507053806,0.42768553710742147
5000,adaptive_forest,0.17763552710542108,0.044244188150019424,0.4926985397079416
5000,active_naive_bayes,0.15043008601720345,0.004842958068484064,0.3358671734346869
5000,active_hoeffding_tree,0.14762952590518102,0.04229067754737868,0.41348269653930786
5000,active_hoeffding_adaptive,0.13722744548909782,0.03491767406376383,0.3776755351070214
10000,baseline_no_change,0.17401740174017402,0.12544784817261673,0.2075
10000,baseline_prior,0.11321132113211321,0.0035693114886425265,0.416041604160416
10000,naive_bayes,0.11331133113311331,0.003571180916718674,0.30103010301030103
10000,logistic_ovr,0.11331133113311331,0.003571180916718674,0.30103010301030103
10000,hoeffding_tree,0.12371237123712371,0.03639651453322164,0.399039903990399
10000,hoeffding_adaptive,0.12101210121012101,0.027976816319597638,0.40434043404340436
10000,adaptive_forest,0.17341734173417342,0.04546478727983139,0.49924992499249926
10000,active_naive_bayes,0.11331133113311331,0.003571180916718674,0.30103010301030103
10000,active_hoeffding_tree,0.12371237123712371,0.03639651453322164,0.399039903990399
10000,active_hoeffding_adaptive,0.1151115111511151,0.036878647131980635,0.36693669366936693
15000,baseline_no_change,0.1668777918527902,0.12720021741352444,0.19093333333333334
15000,baseline_prior,0.09760650710047336,0.0031208032231246404,0.40902726848456566
15000,naive_bayes,0.09767317821188079,0.003122176188771248,0.28655243682912196
15000,logistic_ovr,0.09767317821188079,0.003122176188771248,0.28655243682912196
15000,hoeffding_tree,0.12054136942462831,0.03647132850269134,0.4055603706913794
15000,hoeffding_adaptive,0.1129408627241816,0.03895242581740972,0.3926261750783386
15000,adaptive_forest,0.18447896526435095,0.056662384598427706,0.5134342289485966
15000,active_naive_bayes,0.09767317821188079,0.003122176188771248,0.28655243682912196
15000,active_hoeffding_tree,0.12054136942462831,0.03647132850269134,0.4055603706913794
15000,active_hoeffding_adaptive,0.11060737382492167,0.03833505104014565,0.36855790386025733
20000,baseline_no_change,0.16555827791389569,0.12443954108520362,0.185
20000,baseline_prior,0.10210510525526276,0.005715976195718366,0.4144707235361768
20000,naive_bayes,0.09060453022651133,0.0028161812302764347,0.28196409820491025
20000,logistic_ovr,0.09060453022651133,0.0028161812302764347,0.28196409820491025
20000,hoeffding_tree,0.12260613030651532,0.03182136947799801,0.4113205660283014
20000,hoeffding_adaptive,0.11580579028951447,0.03853727800156558,0.4012700635031752
20000,adaptive_forest,0.19140957047852392,0.05809422783290516,0.5226261313065653
20000,active_naive_bayes,0.09060453022651133,0.0028161812302764347,0.28196409820491025
20000,active_hoeffding_tree,0.12260613030651532,0.03182136947799801,0.4113205660283014
20000,active_hoeffding_adaptive,0.11510575528776439,0.03524605068270725,0.38431921596079804
25000,baseline_no_change,0.16520660826433056,0.12002496828158021,0.18204
25000,baseline_prior,0.10340413616544662,0.0059214101361449644,0.41769670786831475
25000,naive_bayes,0.09100364014560583,0.0028275516634082504,0.2860514420576823
25000,logistic_ovr,0.09100364014560583,0.0028275516634082504,0.2860514420576823
25000,hoeffding_tree,0.12052482099283972,0.042633234514361046,0.41501660066402657
25000,hoeffding_adaptive,0.11780471218848754,0.04843776268748977,0.4078963158526341
25000,adaptive_forest,0.18828753150126004,0.06612669102010486,0.5200608024320973
25000,active_naive_bayes,0.09100364014560583,0.0028275516634082504,0.2860514420576823
25000,active_hoeffding_tree,0.12052482099283972,0.042633234514361046,0.41501660066402657
25000,active_hoeffding_adaptive,0.1155246209848394,0.04453258796644606,0.3936957478299132
30000,baseline_no_change,0.1666055535184506,0.12893942914140458,0.18166666666666667
30000,baseline_prior,0.10460348678289276,0.005974817674806283,0.4169472315743858
30000,naive_bayes,0.08823627454248475,0.002748539286875024,0.2898096603220107
30000,logistic_ovr,0.08823627454248475,0.002748539286875024,0.2898096603220107
30000,hoeffding_tree,0.11883729457648588,0.0463653403063791,0.40734691156371877
30000,hoeffding_adaptive,0.11677055901863395,0.04956221445995985,0.4048468282276076
30000,adaptive_forest,0.1911397046568219,0.07229512544051066,0.5204173472449082
