model,accuracy,macro_f1,top5_accuracy,drift_events,elapsed_s
baseline_no_change,0.169729710164599,0.13154228249882688,0.18446865498769363,25,37.36601368733682
baseline_prior,0.10038819665010723,0.005242931467895319,0.410556415198487,30,32.66924191091675
naive_bayes,0.07507849897295292,0.002367300495657999,0.2963234429151849,23,1479.0013160801027
logistic_ovr,0.07507849897295292,0.002367300495657999,0.2963234429151849,23,464.08424829808064
hoeffding_tree,0.12955271420944522,0.047080249785184235,0.4305725221923609,27,1555.4403492258862
hoeffding_adaptive,0.13247550017645301,0.037275952462395116,0.4336672367456633,31,2481.4657641870435
adaptive_forest,0.19693062229099365,0.07774166473908665,0.5143922324474487,33,495.33778702281415
active_naive_bayes,0.08010062346734714,0.004752634680225978,0.28076843029200715,30,2822.144788696198
active_hoeffding_tree,0.12955271420944522,0.047080249785184235,0.4305725221923609,27,3152.8767446198035
active_hoeffding_adaptive,0.1344300567364335,0.04701139975867189,0.4233153260761372,46,5163.374542982667
