n,model,accuracy,macro_f1,top5_accuracy
5000,baseline_no_change,0.1898379675935187,0.13429912952488438,0.2258
5000,baseline_prior,0.15023004600920184,0.0048398842552313925,0.4404880976195239
5000,naive_bayes,0.15043008601720345,0.004842958068484064,0.3358671734346869
5000,logistic_ovr,0.15043008601720345,0.004842958068484064,0.3358671734346869
5000,hoeffding_tree,0.14742948589717944,0.043515249295283935,0.42208441688337667
5000,hoeffding_adaptive,0.14802960592118425,0.04384526732843164,0.4298859771954391
5000,adaptive_forest,0.1828365673134627,0.04366801202369351,0.5023004600920185
10000,baseline_no_change,0.17401740174017402,0.12544784817261675,0.2042
10000,baseline_prior,0.11321132113211321,0.0035693114886425265,0.416041604160416
10000,naive_bayes,0.11331133113311331,0.003571180916718674,0.30103010301030103
10000,logistic_ovr,0.11331133113311331,0.003571180916718674,0.30103010301030103
10000,hoeffding_tree,0.12201220122012202,0.03629584696363458,0.40154015401540155
10000,hoeffding_adaptive,0.12141214121412142,0.033908490783853204,0.40514051405140517
10000,adaptive_forest,0.18991899189918993,0.06184699903695465,0.5105510551055106
15000,baseline_no_change,0.1668777918527902,0.12720021741352439,0.1948
15000,baseline_prior,0.09760650710047336,0.0031208032231246404,0.40902726848456566
15000,naive_bayes,0.09767317821188079,0.003122176188771248,0.28655243682912196
15000,logistic_ovr,0.09767317821188079,0.003122176188771248,0.28655243682912196
15000,hoeffding_tree,0.11534102273484899,0.03290600812337089,0.4012934195613041
15000,hoeffding_adaptive,0.11280752050136676,0.03778826768879124,0.3926261750783386
15000,adaptive_forest,0.1882792186145743,0.06609689598853546,0.5162344156277086
20000,baseline_no_change,0.16555827791389569,0.12443954108520365,0.19165
20000,baseline_prior,0.10210510525526276,0.005715976195718366,0.4144707235361768
20000,naive_bayes,0.09060453022651133,0.0028161812302764347,0.28196409820491025
20000,logistic_ovr,0.09060453022651133,0.0028161812302764347,0.28196409820491025
20000,hoeffding_tree,0.11870593529676483,0.028853572299005772,0.40812040602030103
20000,hoeffding_adaptive,0.11580579028951447,0.043588329378256394,0.4024201210060503
20000,adaptive_forest,0.1934596729836492,0.06660747678904264,0.520226011300565
25000,baseline_no_change,0.16520660826433056,0.1200249682815802,0.1896
25000,baseline_prior,0.10340413616544662,0.0059214101361449644,0.41769670786831475
25000,naive_bayes,0.09100364014560583,0.0028275516634082504,0.2860514420576823
25000,logistic_ovr,0.09100364014560583,0.0028275516634082504,0.2860514420576823
25000,hoeffding_tree,0.11688467538701548,0.028184142920032955,0.41201648065922636
25000,hoeffding_adaptive,0.11448457938317533,0.03926587517617418,0.40829633185327413
25000,adaptive_forest,0.1953278131125245,0.07660861687744211,0.5196207848313933
30000,baseline_no_change,0.1666055535184506,0.12893942914140458,0.1894
30000,baseline_prior,0.10460348678289276,0.005974817674806283,0.4169472315743858
30000,naive_bayes,0.08823627454248475,0.002748539286875024,0.2898096603220107
30000,logistic_ovr,0.08823627454248475,0.002748539286875024,0.2898096603220107
30000,hoeffding_tree,0.11530384346144872,0.040856035330158295,0.40474682489416314
30000,hoeffding_adaptive,0.11337044568152271,0.04969124403443079,0.39857995266508883
30000,adaptive_forest,0.19853995133171107,0.07730656729555091,0.5203506783559452
35000,baseline_no_change,0.16891911197462783,0.12794469820572513,0.1908857142857143
35000,baseline_prior,0.10451727192205491,0.005932488536595984,0.4134975285008143
35000,naive_bayes,0.08560244578416526,0.002672965443713602,0.29040829737992513
35000,logistic_ovr,0.08560244578416526,0.002672965443713602,0.29040829737992513
35000,hoeffding_tree,0.11394611274607847,0.039428053495969756,0.40341152604360125
35000,hoeffding_adaptive,0.11203177233635246,0.04358481976416409,0.39781136603902967
35000,adaptive_forest,0.2001200034286694,0.0767230948095719,0.5203291522614932
40000,baseline_no_change,0.17137928448211207,0.13317921409886077,0.192825
40000,baseline_prior,0.1044776119402985,0.005877925395305836,0.4116352908822721
40000,naive_bayes,0.08587714692867322,0.002680864713498681,0.2909322733068327
